,favorite_count,retweet_count,tweet_id
78,22206,3701,877556240326512640
79,26761,5053,877316816103772164
80,26504,5437,877201827330174976
81,20224,3254,876838110318936065
82,23016,4524,na
83,18344,2333,876484043352588288
84,27315,4567,876120269428932608
85,24638,4186,875747755280318464
86,21453,4818,875144175078957056
87,26816,5911,na
88,24922,4611,875021140921417728
89,27225,4536,874680081829904384
90,0,14377,na
91,25505,4016,874296776056078336
92,22218,3867,874057549548589057
93,33797,10177,874012990328197120
94,23709,3851,873580279771926529
95,0,1551,na
96,7085,1551,873213769794670593
97,26774,5308,872967099819462661
98,14442,3624,872820673743376386
99,20382,3624,872620798208610305
100,39912,8856,872486967967006720
101,33751,7983,872122708573777925
102,37215,10955,871879745683804161
103,19894,3419,871762515608436741
104,19847,3402,871515922741284865
105,0,5604,na
106,20574,5424,na
107,22304,3762,871032610994225153
108,33077,6114,870804299743338497
109,117,3,na
110,12207,2603,870656293136216066
111,81433,25886,870374041554751488
112,21513,4103,870308992022568960
113,36090,8239,870063191304392704
114,41806,9921,869772408907071492
115,27831,6275,869702951354474496
116,15764,3106,869596640562249728
117,20192,3756,869227980345798656
118,64737,14331,868880391209275392
119,0,2077,na
120,26401,5255,868622480696651777
121,9998,2077,868552270358618113
122,23914,4149,867900486011297792
123,33592,7290,867774933065236480
124,15934,2485,867420991437365250
125,0,120,865013414103363585
126,31922,7818,867051512509460480
127,19881,4784,na
128,19107,3461,866686816879087618
129,121123,35150,866450698984185856
130,52072,14377,866334954229301248
131,0,8336,na
132,25430,5600,865718147889979392
133,26262,4987,865359385135955968
134,27808,7672,865006724092010496
135,32062,8696,864873202618687489
136,14547,3023,864279556340957184
137,29962,8921,864197387966791680
138,20498,4135,863907404156518400
139,15224,4180,863553036815355904
140,0,2446,na
141,23704,5244,863432092616491008
142,2242,97,na
143,8732,1107,863079538779013120
144,8486,2446,863062462383378432
145,19095,5113,862831346963447808
146,16999,3535,862722516858445824
147,20443,4975,862457580722860032
148,74266,23370,862096984366354432
149,36034,10756,861383888685236224
150,17156,4177,861288473281437696
151,16682,3820,861005103205031937
152,0,2173,na
153,0,825,860914470050295814
154,7510,2173,860563764940226560
155,23610,5323,860524497660776448
156,18296,3501,860276575736020992
157,16682,5902,860184837587517440
158,0,31136,na
159,19559,4116,859924516142804992
160,15421,3542,859851567826169857
161,18613,1587,859607806428803077
162,90089,30498,859196962498805762
163,33949,13761,859074595021836288
164,0,8241,na
165,15587,3523,858843519850614784
166,21570,4899,858471621065150464
167,15777,2938,858107922668277760
168,16199,2619,857989982342057986
169,34417,10798,857746390159675396
170,5936,1668,857393395161067520
171,20114,4584,857263152219791360
172,228,18,na
173,0,174,na
174,19036,4077,857029813072252928
175,0,10887,na
176,16375,2931,856543816828018689
177,11931,1921,856526604033556482
178,0,689,na
179,523,17,na
180,27951,6453,856282018912628741
181,347,26,na
182,5066,1045,na
183,11964,2156,na
184,45924,18130,855851444666236933
185,26883,5562,na
186,30213,8398,855459446566400000
187,0,6123,na
188,0,47,na
189,23114,6261,854732704503431168
190,29675,7061,854482381390073856
191,19139,4821,854365212241043457
192,32429,7696,854120347066548224
193,16445,3239,854010162683707392
194,29027,5961,853760873545973760
195,35395,10455,853639138628837376
196,15794,3683,853299949064388608
197,0,2070,na
198,9222,1897,852912235101921280
199,15196,2232,852672601419911169
200,16660,3633,852553437929721865
201,33746,10227,852311356040765442
202,20394,7033,852223481894903808
203,11693,1642,852189646159327233
204,0,9968,829374333562798080
205,0,23,848289376614404097
206,16546,3592,851591634672287744
207,24802,7354,851464803281489921
208,21136,5938,851224878485315584
209,31693,9638,850753625559322625
210,13374,2724,850380153985355777
211,3523,348,na
212,16731,3976,850145600721047552
213,20953,5090,850019779427667968
214,31226,7914,849776958493818880
215,0,5154,na
216,16292,3274,849412289417494528
217,11710,1966,849336535245877248
218,43554,8874,849051911668064256
219,25886,4504,848690539105071104
220,25444,4797,848324954202439680
221,8404,777,na
222,16776,3205,848212097242615808
223,0,3401,na
224,0,444,847970989635928064
225,24199,5324,847962765348052992
226,5620,1398,847842804353032196
227,7206,441,na
228,19343,3558,847606161679331329
229,21069,4488,847251028009336833
230,20537,6136,847157199944208384
231,22040,3345,847116177323253760
232,20674,4111,846874803135021056
233,45995,12160,846514034648190977
234,14539,3224,na
235,32679,9518,846153751811387393
236,31871,10387,na
237,16504,3036,846042902916583425
238,30213,9164,845812035082440705
239,25939,5020,845677937315713024
240,7887,1895,845397049587699714
241,24090,5664,845306874031476736
242,0,8041,na
243,14080,2708,844979535204429824
244,15624,3380,844973805558685696
245,40014,10887,844704782761775106
246,17050,3304,844580505345511424
247,14099,2316,844223764510334976
248,15661,3083,na
249,22179,4878,843856835564240896
250,17471,2900,843604386559348738
251,22253,6372,843235535846031360
252,15761,3800,842846286093209601
253,6990,1346,842765306540052480
254,18738,3703,842535582697971714
255,25340,6123,842163518233292801
256,14515,3202,842115183262736384
257,0,16173,817423809049493505
258,26587,8193,841680565212454913
259,13090,3890,841439843452387328
260,20509,5755,na
261,16419,4967,841311812641533952
262,23737,5604,841077001360461824
263,0,1855,na
264,0,17083,na
265,183,2,na
266,12746,1038,840696683398746112
267,9311,1855,840632328313495553
268,17089,4811,840370672886923264
269,20020,6072,840267990708961280
270,13941,2428,839990262579396609
271,28593,8241,839549305585295362
272,0,150,na
273,28272,6929,839239862192648194
274,20387,4212,na
275,11628,2195,838921573767618560
276,0,36,838905954309529600
277,0,11716,na
278,11359,1402,838561486968668161
279,23489,5096,838476379071086592
280,0,10697,na
281,1747,352,na
282,147,0,na
283,18332,3350,838083881886633984
284,35585,8336,837820156113911808
285,3995,468,837482239088820224
286,13303,2424,837471224582262785
287,22029,5634,837366274258841600
288,16684,2540,837110202889617409
289,13244,2444,836989950847512576
290,20050,4901,836753505905963010
291,13140,2364,836677701918392320
292,0,579,na
293,0,29429,na
294,15367,3155,836380472099897348
295,22158,4555,836260074393747456
296,19913,4563,836001068119019522
297,0,8676,na
298,18570,3854,835574540805763072
299,0,1815,na
300,0,22369,na
301,17136,3196,835297922317070336
302,8060,1815,835264086267072512
303,2183,77,na
304,27260,6111,835172763019194370
305,23428,3212,835152428160978949
306,11293,1757,834931620566208513
307,22120,5859,834786230550290432
308,14269,2692,834574036302757888
309,0,11386,na
310,10037,1787,834458045388378116
